age,gender,gender_other,race,hhsize,children,zipcode,education,employment,hhincome,evinhh,hhveh,vehpurch_yr,monthly_gas,carpurp,carpurp_other,yearly_longdist,gas_reliab,rent,parking,move,used,budget,vehclass,homecharge,lowreliab_1,lowreliab_2,lowreliab_3,lowreliab_4,lowreliab_5,control_1,control_2,control_3,control_4,control_5,highreliab_1,highreliab_2,highreliab_3,highreliab_4,highreliab_5,CE_ChoiceTask_1_1,CE_ChoiceTask_2_1,CE_ChoiceTask_3_1,CE_ChoiceTask_4_1,CE_ChoiceTask_5_1,CE_ChoiceTask_6_1,CE_ChoiceTask_7_1,CE_ChoiceTask_8_1,CE_ChoiceTask_9_1,CE_ChoiceTask_10_1,techanxiety1,slownessofadopt1,resisttoinnov1,techanxiety2,slownessofadopt2,resisttoinnov2,resisttoinnov3,slownessofadopt3,techanxiety3,techanxiety4,slownessofadopt4,psid,errorMessage,customLink2,customLink3,zipcode,zip_region,Attributes.VisitorId.N,number,treatment,survey_index,evprice_1,icevprice_1,evrange_1,icevrange_1,evopcost_1,icevopcost_1,evchargavail_1,evprice_2,icevprice_2,evrange_2,icevrange_2,evopcost_2,icevopcost_2,evchargavail_2,evprice_3,icevprice_3,evrange_3,icevrange_3,evopcost_3,icevopcost_3,evchargavail_3,evprice_4,icevprice_4,evrange_4,icevrange_4,evopcost_4,icevopcost_4,evchargavail_4,evprice_5,icevprice_5,evrange_5,icevrange_5,evopcost_5,icevopcost_5,evchargavail_5,evprice_6,icevprice_6,evrange_6,icevrange_6,evopcost_6,icevopcost_6,evchargavail_6,evprice_7,icevprice_7,evrange_7,icevrange_7,evopcost_7,icevopcost_7,evchargavail_7,evprice_8,icevprice_8,evrange_8,icevrange_8,evopcost_8,icevopcost_8,evchargavail_8,evprice_9,icevprice_9,evrange_9,icevrange_9,evopcost_9,icevopcost_9,evchargavail_9,evprice_10,icevprice_10,evrange_10,icevrange_10,evopcost_10,icevopcost_10,evchargavail_10,reliab_1,reliab_2,reliab_3,reliab_4,reliab_5
45,1,,White,2,0,64801,2,2,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2022,More than 4 Times per Month,"Running errands,Driving locally",,Less than Once per Year,6,0,Attached private garage,I do not plan to move out from my current home,1,18000,1,1,15,1.0,1.0,1.0,1.0,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,5,3,2,5,3,3,2,3,3,5,4,4k_AFcoRAY-VIplEavHI7g**,,,,64801,6,45,45,0,15,12600,12600,200,400,12.5,10,100,18000,18000,300,200,15,12.5,50,14400,14400,400,200,7.5,10,75,14400,12600,200,300,15,10,100,12600,18000,300,400,5,10,25,12600,18000,300,300,10,7.5,100,16200,14400,300,300,12.5,7.5,10,14400,18000,400,200,7.5,7.5,10,14400,16200,200,300,15,12.5,75,16200,16200,400,400,12.5,10,25,15,1.0,1.0,1.0,1.0
50,2,,Asian,2,0,34208,2,6,4,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2018,Less than Once per Month,"Running errands,Driving locally,Extended road trips",,Less than Once per Year,4,0,Driveway or carport,I do not plan to move out from my current home,0,20000,1,1,,,,,,,,,,,74,4.0,4.0,3.0,2.0,2,2,2,2,2,2,2,2,1,1,2,2,1,2,3,2,2,3,2,3,3,4k_AFcoRAY9JYcF3bINbUQ**,,,,34208,3,53,53,2,17,20000,18000,400,300,15,12.5,100,14000,14000,300,200,5,5,50,20000,14000,200,400,12.5,10,50,14000,14000,200,300,12.5,12.5,75,18000,14000,200,300,12.5,12.5,100,14000,20000,400,200,5,10,25,16000,18000,200,300,10,5,25,20000,14000,400,200,15,10,25,16000,20000,300,200,5,12.5,75,16000,16000,300,300,10,12.5,100,74,4.0,4.0,3.0,2.0
45,1,,White,2,0,92882,8,2,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2017,1-2 Times per Month,"Commuting to work,Running errands,Driving locally",,Less than Once per Year,4,0,Attached private garage,I do not plan to move out from my current home,0,30000,1,1,0,2.0,1.0,1.0,1.0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,3,3,2,4,3,2,3,4,2,4,3,4k_AFcoRAY8jb6Z9QwwYlQ**,,,,92882,9,60,60,0,20,27000,30000,400,400,10,10,10,27000,21000,300,400,10,10,10,21000,24000,300,200,7.5,10,10,30000,30000,400,400,5,15,10,30000,30000,400,200,7.5,5,50,21000,24000,400,400,7.5,5,25,27000,30000,300,200,12.5,12.5,100,21000,30000,200,200,5,15,100,21000,27000,300,400,7.5,15,50,30000,21000,200,400,15,5,10,0,2.0,1.0,1.0,1.0
71,2,,White,2,0,18104,1,7,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2019,1-2 Times per Month,"Running errands,Driving locally,Extended road trips",,More than Once per Month,4,0,Attached private garage,I do not plan to move out from my current home,0,30000,1,1,50,4.0,4.0,4.0,3.0,,,,,,,,,,,1,1,2,1,1,2,2,2,1,2,2,1,2,3,1,2,3,2,2,2,2,4k_AFcoRAY9_6k13TEC7xQ**,,,,18104,1,54,54,0,18,21000,27000,200,200,7.5,15,75,21000,21000,300,400,15,10,50,27000,27000,300,300,5,15,50,27000,21000,400,400,10,15,75,24000,24000,200,200,7.5,15,10,21000,24000,400,400,10,5,10,30000,27000,400,200,10,10,10,30000,27000,400,200,12.5,5,75,30000,27000,400,400,7.5,12.5,75,24000,24000,300,200,12.5,10,50,50,4.0,4.0,4.0,3.0
59,1,,White,2,0,62711,2,7,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2021,3-4 Times per Month,"Running errands,Driving locally,Extended road trips",,Once per Month,4,0,Attached private garage,I do not plan to move out from my current home,0,55000,1,1,,,,,,,,,,,91,6.0,6.0,5.0,6.0,2,2,2,1,1,2,2,2,2,2,4,3,2,5,4,4,3,4,2,2,3,4k_AFcoRAY9tDQXCH6Gyxw**,,,,62711,6,44,44,2,14,55000,38500,400,300,5,7.5,50,38500,44000,400,400,15,7.5,75,55000,49500,300,400,10,12.5,10,49500,55000,300,300,7.5,10,75,38500,55000,300,400,15,15,75,55000,44000,200,200,15,10,50,49500,49500,300,400,12.5,12.5,25,49500,49500,200,400,7.5,5,25,38500,38500,400,400,10,7.5,10,44000,38500,300,300,7.5,10,10,91,6.0,6.0,5.0,6.0
56,1,,White,2,0,33837,4,7,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2012,3-4 Times per Month,"Running errands,Driving locally,Extended road trips",,Once per Month,5,0,Attached private garage,I do not plan to move out from my current home,0,50000,2,0,62,2.0,5.0,2.0,4.0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,5,3,2,4,3,3,3,4,2,4,2,4k_AFcoRAY_IcH05efMlgw**,,,,33837,3,48,48,0,16,50000,35000,200,200,12.5,15,100,50000,50000,300,400,5,15,25,50000,45000,400,200,7.5,10,75,35000,40000,300,300,12.5,12.5,10,45000,45000,200,400,10,15,10,50000,35000,400,400,12.5,7.5,25,35000,35000,200,200,7.5,5,10,35000,45000,400,400,10,5,100,45000,35000,400,200,10,7.5,10,40000,35000,400,300,15,7.5,100,62,2.0,5.0,2.0,4.0
69,1,,White,2,0,34759,2,3,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2017,1-2 Times per Month,Running errands,,Multiple Times per Year,5,0,Attached private garage,I do not plan to move out from my current home,0,30000,1,1,,,,,,,,,,,79,4.0,4.0,4.0,4.0,2,2,2,2,2,2,1,1,2,2,4,2,2,5,2,2,2,4,2,4,3,4k_AFcoRAY9vQLP-9qAOhQ**,,,,34759,3,62,62,2,20,27000,30000,400,400,10,10,10,27000,21000,300,400,10,10,10,21000,24000,300,200,7.5,10,10,30000,30000,400,400,5,15,10,30000,30000,400,200,7.5,5,50,21000,24000,400,400,7.5,5,25,27000,30000,300,200,12.5,12.5,100,21000,30000,200,200,5,15,100,21000,27000,300,400,7.5,15,50,30000,21000,200,400,15,5,10,79,4.0,4.0,4.0,4.0
40,2,,White,2,0,81007,3,2,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2019,1-2 Times per Month,"Commuting to work,Running errands",,Less than Once per Year,5,1,Driveway or carport,Less than 2 years,1,14000,1,1,61,3.0,3.0,3.0,2.0,,,,,,,,,,,1,1,2,2,1,2,2,2,2,2,3,2,4,3,2,2,3,4,2,3,2,4k_AFcoRAY_iqDeBlbGJRQ**,,,,81007,8,51,51,0,17,14000,12600,400,300,15,12.5,100,9800,9800,300,200,5,5,50,14000,9800,200,400,12.5,10,50,9800,9800,200,300,12.5,12.5,75,12600,9800,200,300,12.5,12.5,100,9800,14000,400,200,5,10,25,11200,12600,200,300,10,5,25,14000,9800,400,200,15,10,25,11200,14000,300,200,5,12.5,75,11200,11200,300,300,10,12.5,100,61,3.0,3.0,3.0,2.0
66,1,,White,1,0,11224,2,7,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2013,Less than Once per Month,Driving locally,,Never,4,0,Assigned parking space in a shared lot or garage,I do not plan to move out from my current home,1,20000,1,0,,,,,,20,2.0,2.0,1.0,1.0,,,,,,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,4k_AFcoRAY90eKBynSOvvw**,,,,11224,1,67,67,1,22,14000,14000,200,400,10,10,100,16000,18000,200,300,7.5,12.5,10,18000,14000,400,200,7.5,12.5,50,20000,16000,400,300,15,12.5,25,20000,16000,400,400,10,7.5,50,14000,14000,400,200,7.5,12.5,50,20000,20000,400,300,15,7.5,75,14000,20000,400,400,12.5,7.5,50,14000,16000,200,200,5,5,100,18000,14000,200,400,7.5,15,100,20,2.0,2.0,1.0,1.0
39,2,,Black or African American,3,1,35805,4,3,1,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2022,3-4 Times per Month,"Commuting to work,Running errands,Driving locally",,More than Once per Month,5,1,Driveway or carport,In the next 2-5 years,0,9500,1,1,,,,,,,,,,,67,5.0,5.0,5.0,5.0,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,3,2,2,2,2,2,4k_AFcoRAY_LYP4E8IwlYg**,,,,35805,3,104,104,2,34,7600,9500,300,400,7.5,15,100,7600,8550,300,200,5,10,25,7600,9500,400,300,10,5,50,8550,9500,300,200,12.5,10,10,7600,8550,200,300,10,7.5,10,7600,6650,200,300,15,5,10,7600,6650,400,200,7.5,12.5,75,6650,7600,300,200,12.5,10,25,6650,7600,200,200,10,10,75,7600,8550,300,300,5,15,25,67,5.0,5.0,5.0,5.0
