resp_index,choicetask,race,choice,gender,age,hhsize,children,education,zipcode,employment,hhincome,gas_reliab,rent,used,budget,vehclass,homecharge,reliab_1,reliab_2,reliab_3,reliab_4,reliab_5,reliab_fs,CR1,CR2,CR3,CR4,CR5,CR6,CR7,CR8,CR9,CR10,cr_fs,zip_region,treatment,survey_index,ev_price,ev_opcost,ev_range,ev_chargavail,icev_price,icev_opcost,icev_range,ev_av,icev_av
513,1,Black or African American,2,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,30100.0,7.5,300,75,34400.0,10.0,300,1,1
513,2,Black or African American,2,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,34400.0,7.5,300,10,43000.0,7.5,200,1,1
513,3,Black or African American,1,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,38700.0,7.5,400,75,43000.0,15.0,200,1,1
513,4,Black or African American,2,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,34400.0,7.5,400,75,30100.0,5.0,200,1,1
513,5,Black or African American,2,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,43000.0,7.5,400,10,43000.0,7.5,200,1,1
513,6,Black or African American,2,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,38700.0,10.0,200,50,38700.0,10.0,200,1,1
513,7,Black or African American,2,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,34400.0,10.0,300,10,38700.0,12.5,200,1,1
513,8,Black or African American,2,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,43000.0,7.5,400,25,30100.0,15.0,300,1,1
513,9,Black or African American,2,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,38700.0,12.5,400,50,38700.0,5.0,300,1,1
513,10,Black or African American,2,2,38,3,0,2,85304,2,9,5,1,0,43000,2,0,8,1,2,2,1,-1.52907153584376,4,2,4,4,4,4,5,4,4,4,0.929880405332291,8,0,171,43000.0,12.5,400,25,43000.0,5.0,400,1,1
728,1,Asian,1,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,31500.0,12.5,400,100,28000.0,5.0,200,1,1
728,2,Asian,1,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,24500.0,15.0,300,100,24500.0,10.0,200,1,1
728,3,Asian,2,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,31500.0,7.5,200,75,28000.0,10.0,400,1,1
728,4,Asian,1,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,24500.0,12.5,300,50,31500.0,12.5,300,1,1
728,5,Asian,1,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,31500.0,12.5,200,25,31500.0,15.0,300,1,1
728,6,Asian,2,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,31500.0,15.0,400,100,31500.0,12.5,200,1,1
728,7,Asian,1,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,24500.0,10.0,300,50,24500.0,15.0,200,1,1
728,8,Asian,1,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,31500.0,10.0,200,50,31500.0,15.0,200,1,1
728,9,Asian,1,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,24500.0,7.5,300,25,28000.0,15.0,300,1,1
728,10,Asian,1,2,62,3,0,6,21144,7,6,4,0,0,35000,2,1,73,4,4,4,4,0.301069983099658,5,4,4,4,2,2,4,3,4,4,0.655847191289722,2,2,242,28000.0,12.5,300,75,35000.0,12.5,300,1,1
474,1,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,50000.0,10.0,400,75,40000.0,15.0,200,1,1
474,2,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,45000.0,5.0,300,75,35000.0,12.5,200,1,1
474,3,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,40000.0,7.5,400,100,50000.0,5.0,200,1,1
474,4,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,50000.0,15.0,400,25,35000.0,5.0,300,1,1
474,5,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,45000.0,12.5,300,25,50000.0,10.0,400,1,1
474,6,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,40000.0,5.0,200,50,35000.0,12.5,400,1,1
474,7,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,35000.0,7.5,200,75,40000.0,7.5,400,1,1
474,8,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,40000.0,5.0,400,50,45000.0,15.0,300,1,1
474,9,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,40000.0,15.0,300,25,35000.0,7.5,400,1,1
474,10,Asian,2,2,28,3,1,2,83435,4,5,6,1,0,50000,5,0,18,2,2,3,2,-1.04047001607224,4,2,4,3,4,3,4,2,3,3,0.152495572860435,8,0,158,35000.0,12.5,300,75,50000.0,7.5,300,1,1
827,1,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,27000.0,7.5,400,10,21000.0,7.5,400,1,1
827,2,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,21000.0,12.5,200,25,21000.0,10.0,200,1,1
827,3,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,24000.0,5.0,200,10,27000.0,12.5,400,1,1
827,4,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,30000.0,5.0,200,100,24000.0,7.5,200,1,1
827,5,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,30000.0,7.5,200,25,24000.0,15.0,300,1,1
827,6,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,21000.0,5.0,200,10,27000.0,7.5,400,1,1
827,7,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,27000.0,15.0,400,75,24000.0,5.0,200,1,1
827,8,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,21000.0,12.5,400,75,30000.0,5.0,400,1,1
827,9,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,30000.0,5.0,400,10,21000.0,15.0,200,1,1
827,10,Black or African American,2,2,49,8,3,8,70806,2,4,5,1,0,30000,1,0,72,5,4,5,4,0.622603587179202,3,2,3,4,3,3,4,3,3,3,0.008239451215705,7,2,275,30000.0,7.5,200,25,30000.0,5.0,400,1,1
148,1,Not listed here,2,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,35000.0,12.5,300,50,35000.0,5.0,400,1,1
148,2,Not listed here,2,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,50000.0,15.0,400,100,40000.0,5.0,300,1,1
148,3,Not listed here,2,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,40000.0,12.5,200,50,50000.0,5.0,400,1,1
148,4,Not listed here,2,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,45000.0,15.0,400,10,50000.0,5.0,400,1,1
148,5,Not listed here,1,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,35000.0,7.5,200,25,50000.0,12.5,200,1,1
148,6,Not listed here,2,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,40000.0,10.0,300,50,35000.0,7.5,400,1,1
148,7,Not listed here,2,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,35000.0,10.0,300,50,40000.0,15.0,400,1,1
148,8,Not listed here,2,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,45000.0,15.0,200,50,35000.0,5.0,300,1,1
148,9,Not listed here,2,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,40000.0,15.0,200,10,45000.0,7.5,200,1,1
148,10,Not listed here,2,1,69,3,0,2,27518,7,9,6,0,0,50000,1,1,91,5,4,4,4,0.5451672513332,4,3,4,3,3,3,4,4,4,3,0.60057871371281,2,1,49,45000.0,12.5,200,100,45000.0,12.5,400,1,1
202,1,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,35000.0,5.0,400,50,28000.0,10.0,200,1,1
202,2,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,31500.0,15.0,300,50,31500.0,12.5,400,1,1
202,3,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,31500.0,5.0,300,100,28000.0,7.5,400,1,1
