race,budget,homecharge,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,person,resp_index,treatment,survey_index,evprice_1,icevprice_1,evrange_1,icevrange_1,evopcost_1,icevopcost_1,evchargavail_1,evprice_2,icevprice_2,evrange_2,icevrange_2,evopcost_2,icevopcost_2,evchargavail_2,evprice_3,icevprice_3,evrange_3,icevrange_3,evopcost_3,icevopcost_3,evchargavail_3,evprice_4,icevprice_4,evrange_4,icevrange_4,evopcost_4,icevopcost_4,evchargavail_4,evprice_5,icevprice_5,evrange_5,icevrange_5,evopcost_5,icevopcost_5,evchargavail_5,evprice_6,icevprice_6,evrange_6,icevrange_6,evopcost_6,icevopcost_6,evchargavail_6,evprice_7,icevprice_7,evrange_7,icevrange_7,evopcost_7,icevopcost_7,evchargavail_7,evprice_8,icevprice_8,evrange_8,icevrange_8,evopcost_8,icevopcost_8,evchargavail_8,evprice_9,icevprice_9,evrange_9,icevrange_9,evopcost_9,icevopcost_9,evchargavail_9,evprice_10,icevprice_10,evrange_10,icevrange_10,evopcost_10,icevopcost_10,evchargavail_10,reliab_1,reliab_2,reliab_3,reliab_4,reliab_5,ev_av,icev_av
White,18000.0,1,2,1,2,2,2,2,2,2,2,2,4k_AFcoRAY-VIplEavHI7g**,45.0,0.0,15.0,12600.0,12600.0,200.0,400.0,12.5,10.0,100.0,18000.0,18000.0,300.0,200.0,15.0,12.5,50.0,14400.0,14400.0,400.0,200.0,7.5,10.0,75.0,14400.0,12600.0,200.0,300.0,15.0,10.0,100.0,12600.0,18000.0,300.0,400.0,5.0,10.0,25.0,12600.0,18000.0,300.0,300.0,10.0,7.5,100.0,16200.0,14400.0,300.0,300.0,12.5,7.5,10.0,14400.0,18000.0,400.0,200.0,7.5,7.5,10.0,14400.0,16200.0,200.0,300.0,15.0,12.5,75.0,16200.0,16200.0,400.0,400.0,12.5,10.0,25.0,15.0,1.0,1.0,1.0,1.0,1,1
Asian,20000.0,1,2,2,2,2,2,2,2,2,1,1,4k_AFcoRAY9JYcF3bINbUQ**,53.0,2.0,17.0,20000.0,18000.0,400.0,300.0,15.0,12.5,100.0,14000.0,14000.0,300.0,200.0,5.0,5.0,50.0,20000.0,14000.0,200.0,400.0,12.5,10.0,50.0,14000.0,14000.0,200.0,300.0,12.5,12.5,75.0,18000.0,14000.0,200.0,300.0,12.5,12.5,100.0,14000.0,20000.0,400.0,200.0,5.0,10.0,25.0,16000.0,18000.0,200.0,300.0,10.0,5.0,25.0,20000.0,14000.0,400.0,200.0,15.0,10.0,25.0,16000.0,20000.0,300.0,200.0,5.0,12.5,75.0,16000.0,16000.0,300.0,300.0,10.0,12.5,100.0,74.0,4.0,4.0,3.0,2.0,1,1
White,30000.0,1,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY8jb6Z9QwwYlQ**,60.0,0.0,20.0,27000.0,30000.0,400.0,400.0,10.0,10.0,10.0,27000.0,21000.0,300.0,400.0,10.0,10.0,10.0,21000.0,24000.0,300.0,200.0,7.5,10.0,10.0,30000.0,30000.0,400.0,400.0,5.0,15.0,10.0,30000.0,30000.0,400.0,200.0,7.5,5.0,50.0,21000.0,24000.0,400.0,400.0,7.5,5.0,25.0,27000.0,30000.0,300.0,200.0,12.5,12.5,100.0,21000.0,30000.0,200.0,200.0,5.0,15.0,100.0,21000.0,27000.0,300.0,400.0,7.5,15.0,50.0,30000.0,21000.0,200.0,400.0,15.0,5.0,10.0,0.0,2.0,1.0,1.0,1.0,1,1
White,30000.0,1,1,1,2,1,1,2,2,2,1,2,4k_AFcoRAY9_6k13TEC7xQ**,54.0,0.0,18.0,21000.0,27000.0,200.0,200.0,7.5,15.0,75.0,21000.0,21000.0,300.0,400.0,15.0,10.0,50.0,27000.0,27000.0,300.0,300.0,5.0,15.0,50.0,27000.0,21000.0,400.0,400.0,10.0,15.0,75.0,24000.0,24000.0,200.0,200.0,7.5,15.0,10.0,21000.0,24000.0,400.0,400.0,10.0,5.0,10.0,30000.0,27000.0,400.0,200.0,10.0,10.0,10.0,30000.0,27000.0,400.0,200.0,12.5,5.0,75.0,30000.0,27000.0,400.0,400.0,7.5,12.5,75.0,24000.0,24000.0,300.0,200.0,12.5,10.0,50.0,50.0,4.0,4.0,4.0,3.0,1,1
White,55000.0,1,2,2,2,1,1,2,2,2,2,2,4k_AFcoRAY9tDQXCH6Gyxw**,44.0,2.0,14.0,55000.0,38500.0,400.0,300.0,5.0,7.5,50.0,38500.0,44000.0,400.0,400.0,15.0,7.5,75.0,55000.0,49500.0,300.0,400.0,10.0,12.5,10.0,49500.0,55000.0,300.0,300.0,7.5,10.0,75.0,38500.0,55000.0,300.0,400.0,15.0,15.0,75.0,55000.0,44000.0,200.0,200.0,15.0,10.0,50.0,49500.0,49500.0,300.0,400.0,12.5,12.5,25.0,49500.0,49500.0,200.0,400.0,7.5,5.0,25.0,38500.0,38500.0,400.0,400.0,10.0,7.5,10.0,44000.0,38500.0,300.0,300.0,7.5,10.0,10.0,91.0,6.0,6.0,5.0,6.0,1,1
White,50000.0,0,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY_IcH05efMlgw**,48.0,0.0,16.0,50000.0,35000.0,200.0,200.0,12.5,15.0,100.0,50000.0,50000.0,300.0,400.0,5.0,15.0,25.0,50000.0,45000.0,400.0,200.0,7.5,10.0,75.0,35000.0,40000.0,300.0,300.0,12.5,12.5,10.0,45000.0,45000.0,200.0,400.0,10.0,15.0,10.0,50000.0,35000.0,400.0,400.0,12.5,7.5,25.0,35000.0,35000.0,200.0,200.0,7.5,5.0,10.0,35000.0,45000.0,400.0,400.0,10.0,5.0,100.0,45000.0,35000.0,400.0,200.0,10.0,7.5,10.0,40000.0,35000.0,400.0,300.0,15.0,7.5,100.0,62.0,2.0,5.0,2.0,4.0,1,1
White,30000.0,1,2,2,2,2,2,2,1,1,2,2,4k_AFcoRAY9vQLP-9qAOhQ**,62.0,2.0,20.0,27000.0,30000.0,400.0,400.0,10.0,10.0,10.0,27000.0,21000.0,300.0,400.0,10.0,10.0,10.0,21000.0,24000.0,300.0,200.0,7.5,10.0,10.0,30000.0,30000.0,400.0,400.0,5.0,15.0,10.0,30000.0,30000.0,400.0,200.0,7.5,5.0,50.0,21000.0,24000.0,400.0,400.0,7.5,5.0,25.0,27000.0,30000.0,300.0,200.0,12.5,12.5,100.0,21000.0,30000.0,200.0,200.0,5.0,15.0,100.0,21000.0,27000.0,300.0,400.0,7.5,15.0,50.0,30000.0,21000.0,200.0,400.0,15.0,5.0,10.0,79.0,4.0,4.0,4.0,4.0,1,1
White,14000.0,1,1,1,2,2,1,2,2,2,2,2,4k_AFcoRAY_iqDeBlbGJRQ**,51.0,0.0,17.0,14000.0,12600.0,400.0,300.0,15.0,12.5,100.0,9800.0,9800.0,300.0,200.0,5.0,5.0,50.0,14000.0,9800.0,200.0,400.0,12.5,10.0,50.0,9800.0,9800.0,200.0,300.0,12.5,12.5,75.0,12600.0,9800.0,200.0,300.0,12.5,12.5,100.0,9800.0,14000.0,400.0,200.0,5.0,10.0,25.0,11200.0,12600.0,200.0,300.0,10.0,5.0,25.0,14000.0,9800.0,400.0,200.0,15.0,10.0,25.0,11200.0,14000.0,300.0,200.0,5.0,12.5,75.0,11200.0,11200.0,300.0,300.0,10.0,12.5,100.0,61.0,3.0,3.0,3.0,2.0,1,1
White,20000.0,0,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY90eKBynSOvvw**,67.0,1.0,22.0,14000.0,14000.0,200.0,400.0,10.0,10.0,100.0,16000.0,18000.0,200.0,300.0,7.5,12.5,10.0,18000.0,14000.0,400.0,200.0,7.5,12.5,50.0,20000.0,16000.0,400.0,300.0,15.0,12.5,25.0,20000.0,16000.0,400.0,400.0,10.0,7.5,50.0,14000.0,14000.0,400.0,200.0,7.5,12.5,50.0,20000.0,20000.0,400.0,300.0,15.0,7.5,75.0,14000.0,20000.0,400.0,400.0,12.5,7.5,50.0,14000.0,16000.0,200.0,200.0,5.0,5.0,100.0,18000.0,14000.0,200.0,400.0,7.5,15.0,100.0,20.0,2.0,2.0,1.0,1.0,1,1
Black or African American,9500.0,1,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY_LYP4E8IwlYg**,104.0,2.0,34.0,7600.0,9500.0,300.0,400.0,7.5,15.0,100.0,7600.0,8550.0,300.0,200.0,5.0,10.0,25.0,7600.0,9500.0,400.0,300.0,10.0,5.0,50.0,8550.0,9500.0,300.0,200.0,12.5,10.0,10.0,7600.0,8550.0,200.0,300.0,10.0,7.5,10.0,7600.0,6650.0,200.0,300.0,15.0,5.0,10.0,7600.0,6650.0,400.0,200.0,7.5,12.5,75.0,6650.0,7600.0,300.0,200.0,12.5,10.0,25.0,6650.0,7600.0,200.0,200.0,10.0,10.0,75.0,7600.0,8550.0,300.0,300.0,5.0,15.0,25.0,67.0,5.0,5.0,5.0,5.0,1,1
